,second_name,team,element_type,selected_by_percent,now_cost,minutes,value_season,total_points,points_per_game,position,value
518,Lamela,Spurs,3,0.1,57,208,1.8,10,1.4,Midfielder,1.8
229,Ream,Fulham,2,0.1,42,450,1.7,7,1.4,Defender,1.7
529,Sánchez,Spurs,2,0.7,52,541,1.7,9,1.3,Defender,1.7
243,Kamara,Fulham,3,0.0,48,307,1.7,8,0.7,Midfielder,1.7
432,Krafth,Newcastle,2,0.1,42,377,1.7,7,1.4,Defender,1.7
324,Shaqiri,Liverpool,3,0.1,64,243,1.6,10,1.7,Midfielder,1.6
162,Cahill,Crystal Palace,2,0.1,45,630,1.6,7,1.0,Defender,1.6
220,Olsen,Everton,1,0.1,45,180,1.6,7,3.5,Goalkeeper,1.6
103,Stephens,Burnley,3,4.2,43,229,1.6,7,1.4,Midfielder,1.6
475,Lowe,Sheffield Utd,2,0.1,43,413,1.6,7,1.2,Defender,1.6
344,Kelleher,Liverpool,1,0.1,45,90,1.6,7,7.0,Goalkeeper,1.6
24,Martinelli Silva,Arsenal,3,0.3,49,162,1.6,8,2.0,Midfielder,1.6
142,Palmieri dos Santos,Chelsea,2,0.1,47,88,1.5,7,3.5,Defender,1.5
70,Pröpper,Brighton,3,0.0,48,195,1.5,7,1.4,Midfielder,1.5
542,Bale,Spurs,3,0.3,93,160,1.5,14,3.5,Midfielder,1.5
550,Grosicki,West Brom,3,0.0,53,147,1.5,8,2.7,Midfielder,1.5
503,Forster,Southampton,1,6.1,40,90,1.5,6,6.0,Goalkeeper,1.5
554,Hegazy,West Brom,2,0.1,41,90,1.5,6,6.0,Defender,1.5
18,Willock,Arsenal,3,0.1,47,234,1.5,7,1.0,Midfielder,1.5
579,Randolph,West Ham,1,0.3,44,90,1.4,6,6.0,Goalkeeper,1.4
468,Mousset,Sheffield Utd,4,0.1,58,199,1.4,8,1.3,Forward,1.4
635,Otasowie,Wolves,3,0.0,45,114,1.3,6,1.5,Midfielder,1.3
548,Robson-Kanu,West Brom,4,0.1,52,194,1.3,7,0.9,Forward,1.3
143,Arrizabalaga,Chelsea,1,0.6,47,270,1.3,6,2.0,Goalkeeper,1.3
233,Kebano,Fulham,3,0.0,47,116,1.3,6,1.2,Midfielder,1.3
85,Fernandes da Silva Junior,Brighton,2,6.4,39,205,1.3,5,1.7,Defender,1.3
193,Delph,Everton,3,0.0,49,211,1.2,6,1.2,Midfielder,1.2
204,Kenny,Everton,2,0.1,43,78,1.2,5,1.2,Defender,1.2
58,Davis,Aston Villa,4,9.3,43,48,1.2,5,1.0,Forward,1.2
241,Onomah,Fulham,3,0.0,46,143,1.1,5,1.2,Midfielder,1.1
566,Snodgrass,West Brom,3,0.1,57,152,1.1,6,1.2,Midfielder,1.1
498,Smallbone,Southampton,3,0.2,44,171,1.1,5,1.7,Midfielder,1.1
631,Hoever,Wolves,2,0.0,44,190,1.1,5,1.0,Defender,1.1
504,Tella,Southampton,3,0.3,44,155,1.1,5,1.0,Midfielder,1.1
561,Edwards,West Brom,3,0.0,47,114,1.1,5,1.0,Midfielder,1.1
325,Oxlade-Chamberlain,Liverpool,3,0.0,63,134,1.1,7,1.8,Midfielder,1.1
280,Thomas,Leicester,2,0.2,42,270,1.0,4,1.0,Defender,1.0
333,Origi,Liverpool,4,0.6,52,69,1.0,5,1.0,Forward,1.0
555,Austin,West Brom,4,0.2,51,135,1.0,5,1.0,Forward,1.0
398,Henderson,Man Utd,1,1.3,52,225,1.0,5,1.7,Goalkeeper,1.0
547,Gibbs,West Brom,2,0.2,43,720,0.9,4,0.4,Defender,0.9
164,Sakho,Crystal Palace,2,0.2,44,275,0.9,4,1.0,Defender,0.9
430,Dummett,Newcastle,2,0.0,44,151,0.9,4,2.0,Defender,0.9
599,Diop,West Ham,2,0.4,43,297,0.9,4,1.0,Defender,0.9
476,Jagielka,Sheffield Utd,2,0.5,39,232,0.8,3,0.8,Defender,0.8
268,Amartey,Leicester,2,1.0,39,264,0.8,3,0.8,Defender,0.8
346,Williams,Liverpool,2,0.3,40,120,0.8,3,1.5,Defender,0.8
257,Morgan,Leicester,2,0.1,44,16,0.7,3,1.0,Defender,0.7
197,Tosun,Everton,4,0.0,60,44,0.7,4,0.8,Forward,0.7
212,Gordon,Everton,3,0.8,43,87,0.7,3,1.0,Midfielder,0.7
464,O'Connell,Sheffield Utd,2,0.1,47,180,0.6,3,1.5,Defender,0.6
351,Agüero,Man City,4,1.1,103,140,0.6,6,1.2,Forward,0.6
543,Alves Morais,Spurs,4,0.1,69,25,0.6,4,1.0,Forward,0.6
6,Mustafi,Arsenal,2,0.1,50,45,0.6,3,1.0,Defender,0.6
497,Valery,Southampton,2,0.1,47,101,0.6,3,1.0,Defender,0.6
563,Field,West Brom,3,0.0,48,61,0.6,3,1.0,Midfielder,0.6
624,Gibbs-White,Wolves,3,0.0,49,93,0.6,3,1.5,Midfielder,0.6
371,Garcia,Man City,2,0.2,47,200,0.6,3,1.0,Defender,0.6
525,Alli,Spurs,3,0.5,74,74,0.5,4,1.0,Midfielder,0.5
97,Tau,Brighton,3,0.0,55,84,0.5,3,1.5,Midfielder,0.5
287,Casilla Cortés,Leeds,1,0.9,42,90,0.5,2,2.0,Goalkeeper,0.5
307,Davis,Leeds,2,1.2,39,31,0.5,2,1.0,Defender,0.5
322,San Miguel del Castillo,Liverpool,1,0.4,42,180,0.5,2,1.0,Goalkeeper,0.5
565,Harper,West Brom,3,0.5,43,30,0.5,2,1.0,Midfielder,0.5
545,Button,West Brom,1,4.1,40,90,0.5,2,2.0,Goalkeeper,0.5
373,Steffen,Man City,1,0.1,44,90,0.5,2,2.0,Goalkeeper,0.5
154,Gilmour,Chelsea,3,0.1,44,34,0.5,2,1.0,Midfielder,0.5
400,Tuanzebe,Man Utd,2,0.1,42,131,0.5,2,0.4,Defender,0.5
146,Christensen,Chelsea,2,0.2,47,405,0.4,2,0.4,Defender,0.4
213,Kean,Everton,4,0.2,57,13,0.4,2,1.0,Forward,0.4
137,Alonso,Chelsea,2,1.4,56,225,0.4,2,0.7,Defender,0.4
94,Zeqiri,Brighton,4,0.1,50,63,0.4,2,1.0,Forward,0.4
274,Choudhury,Leicester,3,0.1,47,69,0.4,2,0.7,Midfielder,0.4
19,Nelson,Arsenal,3,0.0,51,70,0.4,2,1.0,Midfielder,0.4
12,Kolasinac,Arsenal,2,0.1,48,90,0.4,2,2.0,Defender,0.4
619,Buur,Wolves,2,2.3,39,22,0.3,1,1.0,Defender,0.3
642,Cutrone,Wolves,4,0.0,59,23,0.3,2,1.0,Forward,0.3
499,Vokins,Southampton,2,1.3,39,66,0.3,1,1.0,Defender,0.3
589,Pereira Gomes,West Ham,3,0.1,61,2,0.3,2,1.0,Midfielder,0.3
93,Molumby,Brighton,3,0.0,45,1,0.2,1,1.0,Midfielder,0.2
99,Khadra,Brighton,3,0.0,45,4,0.2,1,1.0,Midfielder,0.2
622,Silva Nascimento Vinagre,Wolves,2,0.8,41,172,0.2,1,0.5,Defender,0.2
107,Cork,Burnley,3,0.0,50,45,0.2,1,1.0,Midfielder,0.2
105,Bardsley,Burnley,2,0.2,44,270,0.2,1,0.3,Defender,0.2
479,Hackford,Sheffield Utd,4,0.0,45,10,0.2,1,1.0,Forward,0.2
450,Anderson,Newcastle,3,0.0,45,3,0.2,1,1.0,Midfielder,0.2
134,Caballero,Chelsea,1,0.2,47,90,0.2,1,1.0,Goalkeeper,0.2
411,Williams,Man Utd,2,0.6,42,6,0.2,1,1.0,Defender,0.2
226,Le Marchand,Fulham,2,0.1,42,122,0.2,1,0.5,Defender,0.2
239,Rodák,Fulham,1,0.3,43,90,0.2,1,1.0,Goalkeeper,0.2
251,Odoi,Fulham,2,0.1,42,270,0.2,1,0.3,Defender,0.2
267,Barbosa Pereira,Leicester,2,0.1,59,13,0.2,1,1.0,Defender,0.2
271,Gray,Leicester,3,0.1,52,18,0.2,1,1.0,Midfielder,0.2
285,Slimani,Leicester,4,0.1,49,19,0.2,1,1.0,Forward,0.2
313,Llorente,Leeds,2,0.0,44,90,0.2,1,0.5,Defender,0.2
374,Delap,Man City,4,1.1,44,39,0.2,1,1.0,Forward,0.2
500,Obafemi,Southampton,4,0.8,46,13,0.2,1,1.0,Forward,0.2
386,Ighalo,Man Utd,4,0.2,61,9,0.2,1,1.0,Forward,0.2
218,Nkounkou,Everton,2,0.2,40,68,0.2,1,1.0,Defender,0.2
644,Da Silva,Wolves,4,0.0,70,18,0.1,1,1.0,Forward,0.1
